condition,architecture,data_mode,threshold,auc,auc_ci_low,auc_ci_high,sensitivity,specificity,f1
acl,baseline,uncropped,0.49,0.9226,0.8698,0.9621,0.7037,0.8939,0.7677
acl,baseline,cropped,0.331,0.945,0.8991,0.9786,0.9444,0.803,0.8644
acl,comparative,uncropped,0.396,0.8148,0.7297,0.8882,0.7407,0.7273,0.7143
acl,comparative,cropped,0.372,0.8288,0.7485,0.9032,0.7407,0.7879,0.7407
meniscus,baseline,uncropped,0.386,0.806,0.7191,0.881,0.9038,0.5294,0.7176
meniscus,baseline,cropped,0.479,0.8224,0.7391,0.8917,0.9423,0.3971,0.6901
meniscus,comparative,uncropped,0.469,0.7585,0.6641,0.8409,0.8077,0.5735,0.6829
meniscus,comparative,cropped,0.528,0.7885,0.7044,0.8617,0.6346,0.75,0.6471
abnormal,baseline,uncropped,0.628,0.8749,0.8028,0.9365,0.8947,0.6,0.8947
abnormal,baseline,cropped,0.619,0.9011,0.8328,0.9542,0.9158,0.6,0.9062
abnormal,comparative,uncropped,0.711,0.8143,0.7096,0.9043,0.7895,0.76,0.8523
abnormal,comparative,cropped,0.65,0.8236,0.72,0.909,0.7474,0.72,0.8208
